584	382	81	32
589	379	71	36
589	379	72	36
589	380	70	36
589	380	72	35
588	380	73	36
588	379	74	35
588	379	72	36
589	379	71	36
589	380	71	35
588	379	72	35
588	380	72	36
588	379	72	36
590	379	70	36
589	379	71	36
588	380	73	35
588	380	73	36
589	380	71	36
590	380	71	36
588	380	72	35
588	379	73	36
589	380	71	36
589	380	71	36
589	379	70	36
589	380	72	35
589	379	71	35
589	379	71	35
589	379	71	36
589	380	71	36
588	379	72	35
588	379	72	36
590	379	70	36
588	379	72	36
589	379	72	36
588	379	73	36
588	379	73	36
588	378	72	36
587	377	71	37
588	377	72	37
589	376	70	38
587	373	72	39
587	375	70	39
586	371	71	39
585	372	71	40
589	372	67	42
585	369	70	43
585	368	69	43
586	367	67	40
585	367	68	36
584	367	68	37
585	366	68	36
583	366	67	37
581	365	67	37
578	360	67	38
579	361	66	39
576	359	67	40
576	354	66	46
566	351	75	46
564	350	74	45
567	350	71	45
560	350	77	44
558	346	72	45
553	344	77	45
552	344	77	45
553	343	76	45
551	341	76	47
548	338	76	48
543	336	75	45
543	334	75	45
542	334	74	45
539	333	74	45
537	331	72	45
533	328	70	45
531	319	69	52
529	318	71	53
527	316	70	53
524	316	69	51
522	315	70	52
518	313	71	52
516	314	70	50
514	314	71	52
512	313	71	50
508	312	72	48
505	308	70	46
504	309	71	43
502	306	73	46
500	304	73	49
497	303	75	44
494	303	78	46
494	301	77	44
492	299	77	46
489	298	82	45
487	296	77	45
486	295	75	45
484	293	76	45
482	292	74	46
481	291	72	46
479	288	71	47
478	286	72	49
471	286	80	48
472	285	79	47
472	285	79	46
473	284	76	44
470	284	80	44
475	284	74	43
478	283	72	43
479	281	71	44
480	279	73	45
481	277	73	45
481	277	74	44
483	276	75	44
484	275	76	43
484	274	77	42
487	273	78	43
489	272	76	44
494	272	72	45
497	271	70	45
500	269	70	45
502	268	70	46
504	268	70	47
507	267	68	47
508	265	69	47
510	264	68	46
510	263	69	46
514	262	67	46
515	260	68	45
516	260	68	46
519	259	66	46
522	256	66	43
520	257	65	45
523	256	66	45
523	252	66	45
525	252	65	45
526	251	63	45
527	251	64	43
526	250	65	42
527	249	63	44
528	248	63	42
528	248	65	42
531	246	63	39
529	247	64	46
530	247	65	44
530	244	67	36
532	243	65	33
534	243	62	29
533	244	62	28
533	245	64	26
534	244	62	25
535	243	64	25
536	243	63	24
535	242	63	25
534	242	64	25
536	242	63	24
533	240	71	25
535	240	66	26
537	238	66	26
538	237	66	26
538	237	65	27
538	237	65	27
537	237	65	27
539	236	66	26
537	235	68	25
538	233	69	27
541	233	66	27
537	231	73	33
537	227	73	45
538	226	77	48
536	227	76	45
540	224	75	49
537	224	77	46
544	224	71	47
538	223	73	47
543	220	71	49
542	220	69	49
542	220	69	48
543	217	68	50
546	216	66	51
545	216	66	50
547	215	66	50
547	215	67	50
546	215	69	50
546	214	68	50
545	213	71	49
548	214	69	48
547	213	69	48
546	215	70	45
548	211	69	47
547	214	72	44
549	211	71	46
548	214	71	43
550	213	70	44
554	214	69	42
554	213	69	42
555	213	70	42
555	213	69	42
554	211	67	42
559	211	65	42
557	210	68	41
557	209	68	42
558	210	66	42
554	208	69	43
563	208	59	43
561	208	65	42
559	207	63	43
556	204	70	45
562	203	60	47
559	203	64	46
562	203	60	45
562	200	64	45
556	201	70	45
565	201	61	45
561	201	61	45
555	200	71	45
564	200	60	45
555	197	67	45
563	200	60	43
555	196	66	47
563	202	58	43
561	197	62	45
554	194	67	47
561	193	61	51
557	193	63	49
561	194	62	50
557	192	66	49
557	191	67	51
560	190	65	50
558	190	68	50
562	186	65	54
560	187	69	51
561	187	68	50
561	189	68	48
563	187	68	49
563	187	70	48
559	188	74	47
536	180	101	55
535	181	107	55
530	181	109	54
539	182	107	55
525	182	122	55
528	180	125	57
520	180	133	56
517	181	139	58
489	173	160	64
480	183	174	61
496	171	163	61
491	180	168	60
525	180	138	54
555	178	107	53
547	178	116	53
578	180	84	51
572	177	87	50
592	180	70	48
580	177	82	48
577	174	87	53
563	169	104	60
583	173	84	54
595	171	72	54
596	175	69	49
583	170	83	53
589	172	81	51
587	170	84	51
593	170	77	51
569	167	103	58
586	169	87	58
593	167	85	57
553	153	140	78
477	158	189	83
465	165	203	79
475	167	208	81
454	155	224	112
460	120	365	198
219	265	590	176
248	232	470	195
42	286	855	122
249	228	384	221
8	290	794	112
258	285	445	143
248	126	477	197
190	43	556	224
148	35	652	271
32	24	737	234
121	45	701	208
173	280	678	189
221	275	509	260
196	87	524	388
118	47	690	191
125	84	588	257
203	33	582	258
128	83	615	352
97	7	740	252
158	76	576	260
125	158	644	436
165	23	691	241
111	44	695	285
106	44	774	278
114	57	687	330
127	174	722	294
98	41	768	256
62	28	793	200
159	40	613	206
165	79	621	234
192	29	612	209
168	123	658	295
82	29	772	204
158	66	599	253
62	50	695	218
101	65	637	278
114	207	685	283
207	35	602	226
160	268	566	177
253	257	463	176
160	299	534	112
291	272	402	134
120	208	693	184
187	44	594	287
114	22	778	266
84	19	728	210
216	35	607	213
212	214	519	252
166	261	616	223
177	42	618	229
115	30	576	275
143	279	512	224
148	206	601	235
132	51	547	232
215	283	459	158
225	166	493	244
232	23	543	212
180	96	552	254
160	45	543	249
107	84	646	280
180	26	630	227
114	68	651	306
85	259	723	325
35	251	785	325
46	268	770	288
67	257	764	277
82	308	759	271
84	192	723	331
85	280	748	305
88	282	745	324
72	246	749	329
83	246	712	363
46	178	719	365
57	214	774	385
62	366	807	309
81	159	753	434
101	104	681	299
231	161	562	233
252	135	563	259
160	136	673	348
348	0	535	212
246	60	560	339
110	0	755	359
46	16	828	421
46	0	813	436
65	0	802	278
190	0	664	289
80	24	723	369
68	23	794	376
53	2	794	396
133	190	669	303
54	4	790	319
20	233	846	182
213	231	540	232
187	126	568	321
72	240	697	161
240	233	417	165
264	0	456	139
203	98	524	274
185	83	522	270
161	47	566	317
154	0	513	268
169	0	519	226
61	250	691	116
171	1	470	200
189	27	418	209
133	239	714	118
146	244	429	116
208	0	234	135
192	35	254	142
216	3	229	141
203	28	262	148
223	4	254	127
217	119	291	132
250	0	302	128
293	54	300	148
329	25	331	142
300	22	376	156
318	80	440	238
278	221	517	174
144	244	722	175
167	278	501	158
209	248	395	192
217	238	680	214
197	198	579	258
208	283	502	163
199	147	401	297
216	37	600	261
246	246	549	211
287	312	409	129
300	306	304	128
271	256	331	186
357	277	419	152
312	309	299	119
265	188	269	230
331	303	329	126
341	289	303	124
220	207	331	229
297	300	537	120
311	252	382	143
331	289	374	134
325	260	321	147
265	165	251	249
345	272	397	153
336	257	421	177
226	96	423	325
252	250	575	213
285	268	483	177
282	13	595	217
171	256	711	164
235	302	566	151
245	220	451	244
285	334	581	132
304	295	366	126
293	227	247	204
340	296	315	141
264	182	242	211
263	157	273	239
232	115	514	343
229	199	570	238
36	221	859	150
155	186	717	165
282	121	581	209
297	78	555	197
306	57	544	252
252	85	645	348
62	156	804	513
100	259	761	405
43	220	795	425
88	230	783	445
141	258	731	399
125	246	713	383
68	254	749	393
131	327	713	338
95	373	779	296
123	143	774	338
143	255	745	351
62	272	818	277
43	0	815	366
2	186	895	296
0	292	898	244
7	368	878	225
110	336	754	211
93	39	684	422
38	8	810	268
97	329	783	211
243	268	532	234
248	243	529	234
251	182	560	269
64	42	741	316
71	26	768	358
43	10	817	368
170	121	623	347
76	21	751	323
149	31	677	334
33	25	767	293
157	18	611	376
66	24	762	304
102	10	732	306
120	87	714	396
198	254	562	263
191	355	641	171
244	288	476	195
230	333	532	147
292	289	444	205
313	324	435	169
294	298	380	178
292	260	518	234
283	341	473	178
271	351	492	125
373	338	377	144
377	368	291	120
421	368	242	106
435	360	196	113
450	359	201	117
455	348	231	128
407	349	272	110
298	289	376	167
275	324	415	123
293	331	441	117
301	327	396	129
322	343	446	121
317	329	314	138
328	339	312	121
377	370	299	107
331	325	304	128
342	339	313	121
351	363	367	113
331	340	320	138
317	337	332	121
334	353	312	102
315	352	307	106
326	353	319	111
304	353	286	102
300	355	280	90
306	357	286	92
312	360	289	84
317	361	295	88
266	360	161	70
329	366	79	49
340	371	68	49
346	377	68	47
344	377	69	48
350	378	68	47
352	381	67	44
351	381	73	45
358	382	68	45
364	385	65	42
363	386	66	42
363	389	68	39
364	397	72	34
368	401	69	30
371	408	65	28
371	409	66	26
372	410	66	32
373	413	66	31
377	422	65	33
377	424	66	44
377	424	70	46
378	430	71	44
378	434	73	43
379	438	76	44
380	443	81	36
381	445	78	34
380	448	81	31
384	450	79	32
391	454	71	25
390	459	67	25
390	463	63	34
388	466	69	26
387	467	70	26
385	468	69	29
384	468	70	31
384	468	69	28
384	467	69	28
382	466	68	31
380	466	69	33
381	464	68	30
379	465	67	30
377	464	68	31
375	465	69	36
376	466	68	33
371	466	69	34
372	464	67	39
372	462	70	38
369	457	68	32
367	453	70	34
365	450	73	33
366	445	71	30
367	439	69	31
368	430	68	34
367	418	69	38
368	403	67	39
367	390	67	41
367	378	69	43
367	377	68	45
369	372	69	42
367	373	66	41
367	383	69	39
366	394	65	41
367	407	65	42
365	423	66	42
364	437	64	42
364	453	64	42
362	468	63	42
362	482	64	41
360	493	63	43
359	508	63	42
356	524	63	42
354	541	66	44
353	557	64	43
351	557	65	45
347	570	67	42
343	586	67	41
341	592	68	43
339	600	71	43
339	602	70	42
338	607	71	41
333	625	73	41
333	631	74	41
334	636	73	40
333	637	73	37
330	641	76	31
332	644	72	31
333	649	74	30
334	661	68	20
341	662	64	19
329	604	111	58
242	532	69	82
231	553	67	77
215	571	77	84
303	511	62	75
275	512	122	118
248	395	180	80
247	422	178	99
239	487	178	92
258	483	163	90
267	520	160	91
279	554	143	70
262	582	157	77
271	616	188	61
201	630	215	51
162	618	234	61
72	642	215	39
99	474	283	188
128	166	711	450
9	18	877	588
21	2	863	622
18	0	879	670
23	15	874	666
0	221	897	460
79	154	811	527
106	309	743	303
68	299	776	250
324	184	555	305
87	254	794	426
82	79	806	393
76	43	758	457
80	20	805	459
77	12	775	476
107	65	775	506
32	150	826	480
57	116	809	425
40	103	812	422
104	133	772	368
60	114	797	381
67	104	778	416
51	135	823	432
69	180	757	374
53	107	805	436
74	140	812	423
28	152	830	419
28	154	856	447
49	147	831	456
5	167	859	460
41	227	828	413
135	236	734	348
139	280	758	311
197	337	700	270
160	241	708	284
138	294	710	222
74	293	769	159
119	273	755	143
444	267	404	203
457	224	318	201
452	231	340	190
460	171	315	196
460	175	322	190
426	139	368	201
441	153	351	186
425	162	362	243
132	175	453	210
149	222	468	152
167	265	445	161
131	307	457	115
105	339	542	96
156	304	415	146
128	318	547	133
181	313	519	152
183	332	532	161
182	344	480	155
164	318	417	168
196	331	509	187
413	310	384	198
403	275	400	174
459	258	388	180
384	252	433	181
159	222	470	128
168	216	467	156
225	231	499	161
183	216	492	168
91	248	683	137
206	229	487	175
79	265	609	124
152	277	575	135
185	291	462	150
201	317	460	167
112	328	551	152
213	367	438	128
136	306	591	177
192	338	551	178
176	320	578	186
125	368	632	149
187	324	503	196
217	319	493	198
182	359	548	161
165	367	517	177
176	390	489	168
20	445	720	118
126	426	520	145
175	440	509	150
158	443	513	167
216	442	502	148
141	340	483	210
140	376	608	205
390	252	424	242
409	208	430	272
153	224	695	394
112	195	774	307
142	212	707	314
94	224	756	319
163	231	691	300
